"Respondent","Database1","Database2","Database3","Database4","Database5","Database6","Database7","Database8","Database9","Database10","Database11","Database12","Database13"
56133,"MariaDB","PostgreSQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56143,"MySQL","Oracle","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
56148,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56158,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56161,"Microsoft SQL Server","MySQL","Oracle","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
56165,"MariaDB","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56197,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56203,"DynamoDB","MariaDB","MongoDB","Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA
56224,"MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56231,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56234,"MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56238,"Microsoft SQL Server","MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56240,"MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56242,"Microsoft SQL Server","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56244,"Firebase","MongoDB","MySQL","Oracle","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
56250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56265,"Elasticsearch","MySQL","PostgreSQL","Redis","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA
56278,"MariaDB","MongoDB","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
56282,"Elasticsearch","MySQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56301,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56307,"Elasticsearch","MySQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56311,"Firebase","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56313,"Elasticsearch","Firebase","MariaDB","MongoDB","MySQL","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA
56314,"Elasticsearch","MongoDB","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA
56316,"Cassandra","Elasticsearch","MariaDB","MySQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA
56318,"MariaDB","MySQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56328,"PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56334,"MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56340,"MariaDB","MySQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
56342,"PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56344,"Microsoft SQL Server","Oracle","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56356,"Microsoft SQL Server","MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56402,"Microsoft SQL Server","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56405,"MariaDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56408,"PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56414,"MariaDB","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56417,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56425,"MongoDB","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56431,"Elasticsearch","MongoDB","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56437,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56453,"MongoDB","Microsoft SQL Server","MySQL","Oracle","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
56473,"MariaDB","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56477,"MariaDB","MySQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56479,"MariaDB","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56510,"Firebase","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56514,"Microsoft SQL Server","MySQL","Oracle","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
56515,"Firebase","Microsoft SQL Server","MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA
56527,"Firebase","MongoDB","Microsoft SQL Server","MySQL","Oracle","PostgreSQL","SQLite","Other(s):",NA,NA,NA,NA,NA
56528,"Oracle","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56546,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56561,"Elasticsearch","MongoDB","Microsoft SQL Server","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA
56565,"DynamoDB","Elasticsearch","Firebase","MongoDB","Redis",NA,NA,NA,NA,NA,NA,NA,NA
56579,"Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56584,"MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56585,"Elasticsearch","MongoDB","Microsoft SQL Server","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
56589,"MariaDB","MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56595,"Microsoft SQL Server","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56598,"Elasticsearch","PostgreSQL","SQLite","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA
56619,"MariaDB","Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56623,"Elasticsearch","Firebase","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA
56627,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56628,"MariaDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56630,"Cassandra","Elasticsearch","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
56636,"DynamoDB","MongoDB","Microsoft SQL Server","MySQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA
56642,"Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56643,"Firebase","MongoDB","Microsoft SQL Server","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA
56644,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56645,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56649,"Microsoft SQL Server","MySQL","Oracle","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA
56651,"Cassandra","MySQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
56657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56662,"Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56668,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56676,"MongoDB","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56700,"Elasticsearch","Oracle","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
56705,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56718,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56726,"MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56730,"MongoDB","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56740,"Cassandra","MariaDB","PostgreSQL","Redis","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA
56747,"MongoDB","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56765,"MongoDB","Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56781,"Firebase","Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
56783,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56791,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56798,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56799,"Elasticsearch","Microsoft SQL Server","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA
56802,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56805,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56817,"Cassandra","Elasticsearch","MySQL","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA
56819,"MongoDB","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56821,"PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56827,"Cassandra","MongoDB","Microsoft SQL Server","SQLite","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA
56833,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56842,"Firebase","MariaDB","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
56871,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56878,"MongoDB","SQLite","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56885,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56889,"DynamoDB","MariaDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56892,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56894,"Firebase","MongoDB","PostgreSQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA
56899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56900,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56908,"DynamoDB","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56912,"Cassandra","MongoDB","Microsoft SQL Server","Oracle","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
56916,"Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56919,"Elasticsearch","MongoDB","MySQL","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA
56924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56926,"Firebase","MongoDB","Microsoft SQL Server","MySQL","Oracle","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA
56936,"Firebase","MongoDB","MySQL","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA
56942,"Couchbase","Elasticsearch","MongoDB","Microsoft SQL Server","MySQL","Oracle","Redis","SQLite",NA,NA,NA,NA,NA
56943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56950,"Cassandra","MariaDB","MongoDB","Microsoft SQL Server","MySQL","Oracle","PostgreSQL",NA,NA,NA,NA,NA,NA
56952,"MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56955,"Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56966,"Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56967,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56970,"Microsoft SQL Server","MySQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56975,"MongoDB","Microsoft SQL Server","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
56976,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56977,"Elasticsearch","Oracle","PostgreSQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA
56981,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56985,"MySQL","Oracle","SQLite","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA
56999,"Elasticsearch","MongoDB","MySQL","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA
57013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57046,"MongoDB","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57052,"Cassandra","Couchbase","DynamoDB","Elasticsearch","MongoDB","Microsoft SQL Server","MySQL","Oracle","PostgreSQL",NA,NA,NA,NA
57067,"MongoDB","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
57069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57089,"Cassandra","DynamoDB","Microsoft SQL Server","MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA
57100,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57122,"Microsoft SQL Server","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57125,"MongoDB","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57131,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57134,"Elasticsearch","Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57138,"Microsoft SQL Server","MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57141,"Microsoft SQL Server","MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57158,"DynamoDB","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57164,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57172,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57173,"Firebase","MongoDB","MySQL","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA
57178,"MongoDB","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57185,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57198,"MongoDB","MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57201,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57216,"MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57218,"MariaDB","Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
57237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57248,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57251,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57252,"Elasticsearch","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57258,"Elasticsearch","Firebase","MongoDB","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA
57263,"MariaDB","MySQL","Oracle","PostgreSQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA
57273,"Microsoft SQL Server","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57279,"MySQL","Oracle","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57283,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57284,"Cassandra","MariaDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57286,"MariaDB","Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
57291,"Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57294,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57309,"MariaDB","MongoDB","Microsoft SQL Server","MySQL","Oracle","SQLite",NA,NA,NA,NA,NA,NA,NA
57312,"MongoDB","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57313,"Microsoft SQL Server","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57316,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57332,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57340,"Firebase","MySQL","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
57352,"Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57354,"Microsoft SQL Server","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57368,"Cassandra","DynamoDB","MariaDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57372,"MongoDB","Microsoft SQL Server","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA
57373,"MariaDB","MySQL","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA
57383,"MongoDB","Microsoft SQL Server","MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA
57393,"Microsoft SQL Server","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57403,"Cassandra","Couchbase","DynamoDB","Elasticsearch","Firebase","MariaDB","MongoDB","Microsoft SQL Server","MySQL","Oracle","PostgreSQL","Redis","SQLite"
57407,"Elasticsearch","MongoDB","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57412,"Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57418,"Microsoft SQL Server","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57428,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57442,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57456,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57462,"Elasticsearch","MongoDB","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57464,"Cassandra","Elasticsearch","MySQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA
57473,"Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57481,"MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57484,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57486,"PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57499,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57513,"MariaDB","Microsoft SQL Server","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
57521,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57539,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57543,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57545,"Firebase","MongoDB","Microsoft SQL Server","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA
57552,"Microsoft SQL Server","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57559,"Microsoft SQL Server","MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57569,"MariaDB","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57575,"Microsoft SQL Server","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57577,"Elasticsearch","MongoDB","Microsoft SQL Server","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
57581,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57592,"MariaDB","Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57595,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57602,"MariaDB","MySQL","Oracle","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
57607,"DynamoDB","Elasticsearch","MongoDB","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA
57615,"MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57628,"MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57635,"Firebase","MariaDB","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57655,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57661,"Microsoft SQL Server","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57672,"MySQL","Oracle","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57673,"MariaDB","MongoDB","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
57674,"MySQL","PostgreSQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57687,"Elasticsearch","MongoDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57689,"MariaDB","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57694,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57696,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57701,"Elasticsearch","Firebase","MongoDB","MySQL","PostgreSQL","Other(s):",NA,NA,NA,NA,NA,NA,NA
57711,"MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57717,"Elasticsearch","Firebase","MariaDB","MongoDB","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
57730,"MongoDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57740,"MongoDB","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57743,"Firebase","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57751,"Firebase","MariaDB","MongoDB","Microsoft SQL Server","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA
57756,"PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57759,"Cassandra","Couchbase","DynamoDB","Elasticsearch","Firebase","MariaDB","MongoDB","MySQL","PostgreSQL","Redis","Other(s):",NA,NA
57760,"MariaDB","Microsoft SQL Server","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57761,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57763,"MongoDB","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57768,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57770,"Firebase","MariaDB","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57777,"MongoDB","Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57781,"MariaDB","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57796,"MongoDB","Microsoft SQL Server","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
57798,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57806,"MariaDB","MongoDB","Microsoft SQL Server","MySQL","Oracle","PostgreSQL",NA,NA,NA,NA,NA,NA,NA
57812,"Microsoft SQL Server","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57821,"DynamoDB","Elasticsearch","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA
57839,"MariaDB","MongoDB","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
57848,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57850,"MongoDB","Microsoft SQL Server","MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA
57862,"Elasticsearch","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57873,"MariaDB","Microsoft SQL Server","MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA
57887,"MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57888,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
